종목코드,종목명,종가,대비,등락률,상장시가총액
"131290","티에스이","48850","-2950","-5.69","540351.0"
"058970","엠로","42300","-2650","-5.90","522808.0"
"050890","쏠리드","8560","70","0.82","520076.0"
"048410","현대바이오","5400","60","1.12","518621.0"
"015750","성우하이텍","6280","-150","-2.33","502400.0"
"365340","성일하이텍","41500","-1650","-3.82","507269.0"
"053030","바이넥스","15420","-430","-2.71","503990.0"
"253590","네오셈","11280","-740","-6.16","494844.0"
"352480","씨앤씨인터내셔널","36200","-400","-1.09","493402.0"
"194480","데브시스터즈","39400","-850","-2.11","480804.0"
"272290","이녹스첨단소재","24250","-1150","-4.53","490521.0"
"025900","동화기업","9660","-270","-2.72","488383.0"
"079370","제우스","14580","-710","-4.64","452228.0"
"060280","큐렉소","11180","-480","-4.12","459386.0"
"215200","메가스터디교육","41450","300","0.73","446453.0"
"189300","인텔리안테크","43300","-1500","-3.35","464753.0"
"034950","한국기업평가","98500","800","0.82","447241.0"
"099190","아이센스","16600","-250","-1.48","457943.0"
"078340","컴투스","33550","-700","-2.04","427352.0"
"420770","기가비스","34500","-1550","-4.30","437314.0"
"069080","웹젠","12160","80","0.66","420747.0"
"317330","덕산테코피아","20600","-600","-2.83","421818.0"
"101360","에코앤드림","22650","-600","-2.58","402855.0"
"091700","파트론","6850","-140","-2.00","390450.0"
"108860","셀바스AI","13690","-580","-4.06","368463.0"
"200130","콜마비앤에이치","13230","-370","-2.72","389168.0"
"064550","바이오니아","14810","-230","-1.53","382250.0"
"046890","서울반도체","6160","-70","-1.12","359161.0"
"095500","미래나노텍","11030","-490","-4.25","342040.0"
"215000","골프존","57800","300","0.52","362719.0"
"094360","칩스앤미디어","15920","-570","-3.46","338287.0"
"053610","프로텍","30650","-1100","-3.46","337150.0"
"114840","아이패밀리에스씨","17170","-220","-1.27","297383.0"
"115450","HLB테라퓨틱스","3605","-5","-0.14","304198.0"
"049070","인탑스","15450","-920","-5.62","265740.0"
"394280","오픈엣지테크놀로지","12630","-650","-4.89","278270.0"
"267980","매일유업","34400","300","0.88","263629.0"
"084850","아이티엠반도체","11650","-90","-0.77","264256.0"
"091120","이엠텍","8630","-420","-4.64","147857.0"
